t 1 2 3 4 jOP1 jV0200 
3.96e-005 -7.27418 -0.113372 3.90344 3.90344 -0.0003144 0.000716081 
4.02e-005 -7.67219 -0.542099 3.65696 3.65696 -0.000293103 0.000713009 
4.08e-005 -8.04264 -0.968234 3.39994 3.39994 -0.000270622 0.00070744 
4.14e-005 -8.3842 -1.39028 3.13319 3.13319 -0.000247043 0.000699391 
4.2e-005 -8.69564 -1.80677 2.85756 2.85756 -0.000222454 0.000688887 
4.26e-005 -8.97585 -2.21622 2.57393 2.57393 -0.000196948 0.000675963 
4.32e-005 -9.22382 -2.61721 2.28321 2.28321 -0.000170619 0.000660661 
4.38e-005 -9.43866 -3.00832 1.98636 1.98636 -0.000143566 0.000643034 
4.44e-005 -9.61959 -3.38817 1.68434 1.68434 -0.000115891 0.000623142 
4.5e-005 -9.76597 -3.75543 1.37816 1.37816 -8.76957e-005 0.000601054 
4.56e-005 -9.87728 -4.1088 1.06882 1.06882 -5.90855e-005 0.000576848 
4.62e-005 -9.9531 -4.44704 0.757361 0.757361 -3.01669e-005 0.000550607 
4.68e-005 -9.99318 -4.76894 0.444816 0.444816 -1.04702e-006 0.000522423 
4.74e-005 -9.99736 -5.07339 0.132235 0.132235 2.8166e-005 0.000492397 
4.8e-005 -9.96563 -5.3593 -0.179333 -0.179333 5.7364e-005 0.000460633 
4.86e-005 -9.8981 -5.62566 -0.488837 -0.488837 8.64387e-005 0.000427244 
4.92e-005 -9.79502 -5.87154 -0.795231 -0.795231 0.000115283 0.000392348 
4.98e-005 -9.65676 -6.09607 -1.09748 -1.09748 0.000143789 0.000356069 
5.04e-005 -9.48381 -6.29845 -1.39455 -1.39455 0.000171853 0.000318537 
5.1e-005 -9.2768 -6.47797 -1.68545 -1.68545 0.00019937 0.000279883 
5.16e-005 -9.03646 -6.63401 -1.96917 -1.96917 0.000226239 0.000240245 
5.22e-005 -8.76367 -6.76601 -2.24475 -2.24475 0.000252361 0.000199766 
5.28e-005 -8.4594 -6.87352 -2.51126 -2.51126 0.000277639 0.000158588 
5.34e-005 -8.12474 -6.95615 -2.76777 -2.76777 0.000301979 0.000116859 
5.4e-005 -7.7609 -7.01363 -3.01343 -3.01343 0.000325292 7.47274e-005 
5.46e-005 -7.36919 -7.04575 -3.24739 -3.24739 0.000347493 3.23436e-005 
5.52e-005 -6.951 -7.05241 -3.46885 -3.46885 0.000368498 -1.01411e-005 
5.58e-005 -6.50785 -7.0336 -3.67705 -3.67705 0.00038823 -5.2575e-005 
5.64e-005 -6.04132 -6.98938 -3.87129 -3.87129 0.000406616 -9.48065e-005 
5.7e-005 -5.55309 -6.91994 -4.0509 -4.0509 0.000423588 -0.000136685 
5.76e-005 -5.04491 -6.82551 -4.21528 -4.21528 0.000439083 -0.00017806 
5.82e-005 -4.51862 -6.70646 -4.36387 -4.36387 0.000453043 -0.000218784 
5.88e-005 -3.97609 -6.56321 -4.49616 -4.49616 0.000465417 -0.000258712 
5.94e-005 -3.41928 -6.39629 -4.6117 -4.6117 0.000476159 -0.0002977 
6e-005 -2.85019 -6.20629 -4.71013 -4.71013 0.000485227 -0.00033561 
6.06e-005 -2.27086 -5.99392 -4.7911 -4.7911 0.000492588 -0.000372305 
6.12e-005 -1.68338 -5.75993 -4.85435 -4.85435 0.000498213 -0.000407655 
6.18e-005 -1.08985 -5.50517 -4.89968 -4.89968 0.000502082 -0.000441533 
6.24e-005 -0.492403 -5.23057 -4.92695 -4.92695 0.000504178 -0.000473817 
6.3e-005 0.106812 -4.93711 -4.93609 -4.93609 0.000504493 -0.000504392 
6.36e-005 0.705643 -4.62585 -4.92709 -4.92709 0.000503025 -0.000533149 
6.42e-005 1.30194 -4.29791 -4.89999 -4.89999 0.000499776 -0.000559984 
6.48e-005 1.89356 -3.95447 -4.85491 -4.85491 0.000494759 -0.000584803 
6.54e-005 2.47838 -3.59677 -4.79204 -4.79204 0.000487989 -0.000607515 
6.6e-005 3.05429 -3.22611 -4.71162 -4.71162 0.000479489 -0.00062804 
6.66e-005 3.61924 -2.8438 -4.61395 -4.61395 0.00046929 -0.000646304 
6.72e-005 4.17119 -2.45124 -4.4994 -4.4994 0.000457427 -0.000662242 
6.78e-005 4.70815 -2.04983 -4.3684 -4.3684 0.000443941 -0.000675798 
6.84e-005 5.2282 -1.64101 -4.22143 -4.22143 0.00042888 -0.000686921 
6.9e-005 5.72947 -1.22626 -4.05903 -4.05903 0.000412297 -0.000695574 
6.96e-005 6.21016 -0.807074 -3.88181 -3.88181 0.000394251 -0.000701724 
7.02e-005 6.66855 -0.384952 -3.6904 -3.6904 0.000374805 -0.00070535 
7.08e-005 7.10298 0.038585 -3.48551 -3.48551 0.00035403 -0.00070644 
7.14e-005 7.5119 0.462014 -3.26789 -3.26789 0.000331998 -0.000704989 
7.2e-005 7.89384 0.883811 -3.03833 -3.03833 0.000308789 -0.000701003 
7.26e-005 8.24743 1.30246 -2.79766 -2.79766 0.000284484 -0.000694496 
7.32e-005 8.57139 1.71646 -2.54676 -2.54676 0.000259171 -0.000685493 
7.38e-005 8.86456 2.12431 -2.28654 -2.28654 0.000232939 -0.000674024 
7.44e-005 9.12589 2.52456 -2.01794 -2.01794 0.000205883 -0.000660133 
7.5e-005 9.35444 2.91576 -1.74194 -1.74194 0.000178098 -0.000643868 
7.56e-005 9.54939 3.29651 -1.45952 -1.45952 0.000149685 -0.000625288 
7.62e-005 9.71004 3.66543 -1.17173 -1.17173 0.000120745 -0.000604461 
7.68e-005 9.83582 4.02121 -0.879589 -0.879589 9.13809e-005 -0.000581461 
7.74e-005 9.92626 4.36256 -0.584163 -0.584163 6.1698e-005 -0.00055637 
7.8e-005 9.98105 4.68825 -0.286519 -0.286519 3.18024e-005 -0.00052928 
7.86e-005 9.99999 4.99712 0.0122701 0.0122701 1.80115e-006 -0.000500286 
7.92e-005 9.98301 5.28806 0.311124 0.311124 -2.81985e-005 -0.000469495 
7.98e-005 9.93017 5.56001 0.608963 0.608963 -5.80891e-005 -0.000437016 
8.04e-005 9.84166 5.812 0.904713 0.904713 -8.77637e-005 -0.000402965 
8.1e-005 9.7178 6.04313 1.19731 1.19731 -0.000117116 -0.000367467 
8.16e-005 9.55904 6.25257 1.48569 1.48569 -0.000146041 -0.000330647 
8.22e-005 9.36594 6.43955 1.76882 1.76882 -0.000174435 -0.000292639 
8.28e-005 9.1392 6.60342 2.04567 2.04567 -0.000202197 -0.000253578 
8.34e-005 8.87963 6.74357 2.31525 2.31525 -0.000229226 -0.000213606 
8.4e-005 8.58817 6.85952 2.57659 2.57659 -0.000255427 -0.000172865 
8.46e-005 8.26586 6.95083 2.82874 2.82874 -0.000280705 -0.000131503 
8.52e-005 7.91386 7.01718 3.07079 3.07079 -0.00030497 -8.9668e-005 
8.58e-005 7.53343 7.05833 3.30188 3.30188 -0.000328135 -4.751e-005 
8.64e-005 7.12594 7.07414 3.52116 3.52116 -0.000350117 -5.18065e-006 
8.7e-005 6.69286 7.06454 3.72785 3.72785 -0.000370837 3.71679e-005 
8.76e-005 6.23574 7.02958 3.9212 3.9212 -0.000390221 7.93836e-005 
8.82e-005 5.75622 6.96937 4.10052 4.10052 -0.000408199 0.000121315 
8.88e-005 5.25602 6.88413 4.26516 4.26516 -0.000424708 0.000162811 
8.94e-005 4.73695 6.77417 4.41451 4.41451 -0.000439688 0.000203722 
9e-005 4.20086 6.63988 4.54806 4.54806 -0.000453085 0.000243902 
9.06e-005 3.64968 6.48175 4.66531 4.66531 -0.000464851 0.000283207 
9.12e-005 3.08539 6.30034 4.76584 4.76584 -0.000474945 0.000321495 
9.18e-005 2.51002 6.0963 4.84928 4.84928 -0.00048333 0.000358628 
9.24e-005 1.92563 5.87037 4.91534 4.91534 -0.000489977 0.000394474 
9.3e-005 1.33433 5.62336 4.96378 4.96378 -0.000494861 0.000428903 
9.36e-005 0.73823 5.35615 4.99442 4.99442 -0.000497965 0.000461792 
9.42e-005 0.139482 5.0697 5.00715 5.00715 -0.000499278 0.000493022 
9.48e-005 -0.459767 4.76505 5.00192 5.00192 -0.000498796 0.000522482 
9.54e-005 -1.05736 4.44329 4.97875 4.97875 -0.000496519 0.000550065 
9.6e-005 -1.65116 4.10557 4.93772 4.93772 -0.000492458 0.000575673 
9.66e-005 -2.23903 3.7531 4.87898 4.87898 -0.000486626 0.000599214 
9.72e-005 -2.81886 3.38716 4.80274 4.80274 -0.000479044 0.000620602 
9.78e-005 -3.38856 3.00905 4.70926 4.70926 -0.00046974 0.000639761 
9.84e-005 -3.94609 2.62013 4.59889 4.59889 -0.000458746 0.000656622 
9.9e-005 -4.48945 2.22181 4.47202 4.47202 -0.000446104 0.000671126 
9.96e-005 -5.01668 1.81551 4.32911 4.32911 -0.000431858 0.000683218 
0.0001002 -5.52589 1.40268 4.17066 4.17066 -0.000416059 0.000692857 
0.0001008 -6.01525 0.984824 3.99725 3.99725 -0.000398765 0.000700007 
0.0001014 -6.48301 0.563428 3.80949 3.80949 -0.000380037 0.000704643 
0.000102 -6.92748 0.140011 3.60807 3.60807 -0.000359943 0.000706749 
0.0001026 -7.34706 -0.283908 3.3937 3.3937 -0.000338554 0.000706315 
0.0001032 -7.74026 -0.706807 3.16715 3.16715 -0.000315949 0.000703345 
0.0001038 -8.10565 -1.12716 2.92924 2.92924 -0.000292208 0.000697849 
0.0001044 -8.44193 -1.54347 2.68082 2.68082 -0.000267416 0.000689846 
0.000105 -8.74789 -1.95424 2.42278 2.42278 -0.000241663 0.000679365 
0.0001056 -9.02242 -2.35798 2.15605 2.15605 -0.000215041 0.000666444 
0.0001062 -9.26455 -2.75325 1.88158 1.88158 -0.000187646 0.00065113 
0.0001068 -9.4734 -3.13863 1.60037 1.60037 -0.000159576 0.000633477 
0.0001074 -9.64822 -3.51274 1.31341 1.31341 -0.000130932 0.000613548 
0.000108 -9.78839 -3.87423 1.02175 1.02175 -0.000101818 0.000591416 
0.0001086 -9.8934 -4.2218 0.726425 0.726425 -7.23365e-005 0.000567159 
0.0001092 -9.96287 -4.55421 0.428496 0.428496 -4.25949e-005 0.000540866 
0.0001098 -9.99655 -4.87026 0.129036 0.129036 -1.26997e-005 0.000512629 
0.0001104 -9.99433 -5.16881 -0.17088 -0.17088 1.72416e-005 0.000482552 
0.000111 -9.95621 -5.4488 -0.470177 -0.470177 4.71215e-005 0.000450741 
0.0001116 -9.88233 -5.70922 -0.767779 -0.767779 7.68327e-005 0.000417311 
0.0001122 -9.77295 -5.94912 -1.06262 -1.06262 0.000106268 0.000382382 
0.0001128 -9.62846 -6.16766 -1.35363 -1.35363 0.000135323 0.00034608 
0.0001134 -9.4494 -6.36405 -1.63978 -1.63978 0.000163892 0.000308535 
0.000114 -9.23639 -6.53757 -1.92004 -1.92004 0.000191872 0.000269882 
0.0001146 -8.9902 -6.68761 -2.19339 -2.19339 0.000219164 0.000230259 
0.0001152 -8.71173 -6.81364 -2.45886 -2.45886 0.000245668 0.000189809 
0.0001158 -8.40196 -6.91518 -2.71549 -2.71549 0.000271291 0.000148678 
0.0001164 -8.06201 -6.99189 -2.96237 -2.96237 0.00029594 0.000107012 
0.000117 -7.6931 -7.04348 -3.1986 -3.1986 0.000319526 6.49623e-005 
